,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
4,Southern Div. One South,3,1,1,2,Mousehole ,,,"1,998","2,352","2,396","2,562",,,"2,722","2,808","3,683","3,992","4,118",,"4,613","5,126","5,458","1,008",,,,
4,Southern Div. One South,3,1,2,2,Malvern Town,,,"2,755","3,431","3,507","3,784",,,"3,955","4,002","4,479","4,676","4,730",,"5,007","5,417","5,546",687,,,,
4,Southern Div. One South,4,1,1,2,Cribbs,,,"2,292","2,652","2,723","2,962","3,000",,"3,056","3,112","3,362","3,408","3,457",,"3,750","4,007","4,153",550,,,,
5,Combined Counties Premier Div. North,4,1,4,2,Rayners Lane,,,"1,224","1,635","1,664","1,775",,,"1,856",,"2,146",,"2,458",,"2,613","2,727","2,931",269,,,,
5,Combined Counties Premier Div. North,7,1,3,2,Milton United,,,"1,483","1,704","1,723","1,840",,,"1,945",,"2,264",,"2,447",,"2,613","2,852","2,969",405,,,,
5,Combined Counties Premier Div. South,6,1,2,2,Epsom & Ewell,,,"3,225","3,616","3,657","3,786",,,"3,919",,"4,331",,"4,415",,"4,434","4,497",928,82,,,,
5,Combined Counties Premier Div. South,8,1,1,2,Sandhurst Town,,,"2,444","2,818","2,875","3,032",,,"3,156",,"3,570",,"3,687",,"3,785","4,349","4,392",662,,,,
5,Eastern Counties Premier Div.,3,1,2,2,Downham Town,,,"1,727","2,022","2,056","2,286",,,"2,394",,"2,592",,"3,911",,"3,942","4,033","4,064",122,,,,
5,Essex Senior League ,9,1,1,2,Frenford,,,"2,002","2,399","2,497","2,849",,,"3,073",,"3,684",,"4,081",,"4,327","4,555","4,677",474,,,,
5,Hellenic League Premier Div.,5,1,1,2,Pershore Town,,,"1,357","1,906","1,967","2,134",,,"2,254",,"2,666",,"3,135",,"3,396","3,634","3,758",499,,,,
