,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
4,Isthmian League North,6,1,5,1,Grays Athletic,"3,652","4,166","4,387","5,080","5,132","5,327","5,400","5,445","5,519","5,678","6,199","6,516","6,616",,"6,931","7,212","7,426",596,,,,
4,Isthmian League North,9,1,15,1,Maldon & Tiptree,"6,940","7,481","7,574","9,671","9,698","9,830","9,908","10,122","10,180","10,164","10,537","10,771","10,800",,"11,065","11,371","11,525",571,,,,
4,Isthmian League North,11,1,4,1,Heybridge Swifts,"2,645","3,459","3,607","4,149","4,254","4,387","4,472","4,528","4,547","4,794","5,585","5,822","5,885",,"6,405","6,740","6,950",855,,,,
4,Isthmian League North,12,1,11,1,Bury Town,"7,646","8,182","8,311","9,155","9,249","9,396","9,582","9,765","9,790","9,808","10,368","10,593","10,681",,"11,044","11,236","11,531",555,,,,
4,Isthmian League North,17,1,14,1,Basildon United,"2,362","3,803","4,167",0,755,"1,208","1,494","1,617","1,682","1,756","2,723","3,123","3,190",,"3,648","3,858","4,020",668,,,,
4,Isthmian League North,18,1,16,1,Witham Town,"3,044","3,647","3,787","4,774","4,934","5,149","5,186","5,212","5,216","5,246","5,722","5,947","6,026",,"6,248","6,471","6,594",445,,,,
4,Isthmian League South Central,2,1,8,1,Chertsey Town,,,"3,826","4,001","4,038","4,125","4,172","4,195","4,205","4,230","4,907","5,212","5,244",,"5,422","5,473","5,597",229,,,,
4,Isthmian League South Central,4,1,8,1,Metropolitan Police,"4,100","4,222","4,429","5,161","5,226","5,363","5,453","5,509","5,523","5,534","6,039","6,341","6,386","6,618","6,709","6,909","7,089",523,,,,
4,Isthmian League South Central,6,1,14,1,Uxbridge,"2,422","2,627","2,656","3,020","3,054","3,156","3,192","3,250","3,280","3,313","3,742","3,877","3,908",,"4,172","4,264","4,340",356,,,,
4,Isthmian League South Central,7,1,3,1,Marlow,"3,235","3,475","3,575","3,940","3,948","4,071","4,142","4,198","4,236","4,262","4,994","5,084","5,100",,"5,307","5,458","5,564",358,,,,
4,Isthmian League South Central,8,1,6,1,Binfield,"3,623",,"3,801","4,430","4,465","4,663","4,754",,"4,857","5,439","6,169","6,458","6,483",,"6,815","6,926","6,999",443,,,,
4,Isthmian League South Central,9,1,9,1,South Park,"3,512","3,845","3,896","4,368","4,455","4,616","4,645","4,650","4,685","4,728","5,000","5,197","5,242",,"5,374","5,482","5,547",240,,,,
4,Isthmian League South Central,10,1,11,1,Chipstead,"1,348","1,691","1,799","2,244","2,329","2,504","2,587","2,645","2,702","2,742","3,064","3,210","3,208",,"3,342","3,425","3,652",217,,,,
4,Isthmian League South Central,11,1,5,1,Northwood,"2,276","2,837","2,928","3,454","3,600","3,747","3,771","3,805","3,831","3,881","4,286","4,460","4,480",,"4,743","4,900","5,027",420,,,,
4,Isthmian League South Central,12,1,13,1,Thatcham Town,"4,000","5,496","5,576","6,147","6,243","6,335","6,365","6,439","6,441","6,442","6,739","6,837","6,861",,"6,992","7,149","7,241",288,,,,
4,Isthmian League South Central,13,1,16,1,Ashford Town (Middlesex),"4,014","4,231","4,282","4,662","4,769","4,900","4,939","4,994","5,037","5,077","5,384","5,525","5,550",,"5,770","5,835","5,968",285,,,,
4,Isthmian League South Central,14,1,15,1,Guernsey,"8,712","8,707","8,761","9,286","9,330","9,420","9,414","9,401","9,383","9,354","9,689","9,941","9,945",,"10,097","10,313","10,335",368,,,,
4,Isthmian League South Central,16,1,12,1,Westfield,"2,960","3,430","3,482","4,056","4,184","4,313","4,366","4,412","4,429","4,455","4,824","5,006","5,045",,"5,377","5,478","5,554",433,,,,
4,Isthmian League South Central,17,1,17,1,Sutton Common Rovers,,,"2,137","2,638","2,691","2,839","2,901",,"2,998","3,003","3,549","3,783","3,839",,"4,009","4,105","4,231",266,,,,
4,Isthmian League South East,2,1,9,1,Ashford United,"1,842","2,358","2,425","2,831","2,876","2,980","3,016","3,039","3,058","3,079","3,500","3,815","3,852",,"4,122","4,258","4,389",406,,,,
4,Isthmian League South East,5,1,6,1,Cray Valley (PM),"3,316","3,380","3,564","4,485","4,565","4,773","4,841","5,114","5,130","5,149","5,497","5,664","5,680",,"5,830","5,921","6,049",241,,,,
4,Isthmian League South East,6,1,2,1,Ramsgate ,"4,401","4,802","4,899","5,524","5,575","5,762","5,825","5,904","5,954","6,014","6,819","7,195","7,213",,"7,455","7,809","8,053",596,,,,
4,Isthmian League South East,7,1,16,1,Burgess Hill Town,"5,236","5,799","5,953","6,889","7,000","7,205","7,250","7,293","7,343","7,361","7,923","8,179","8,220",,"8,495","8,780","8,934",560,,,,
,,8,,15,,Barrow Town,,,"3,186","3,374","3,398","3,470",,,"3,563",,"3,768",,"3,863",,"3,938","3,989",,803,,,,
4,Isthmian League South East,10,1,11,1,Sittingbourne,"5,066","5,422","5,525","5,966","6,005","6,127","6,171","6,206","6,240","6,253","6,663","6,815","6,891",,"7,109","7,443","7,598",552,,,,
4,Isthmian League South East,11,1,10,1,Chichester City,"3,705","3,770","3,800","7,448","7,398","7,469","7,564","7,573","7,564","7,557","7,836","7,952","7,986",,"8,173","8,236","8,227",250,,,,
4,Isthmian League South East,13,1,8,1,Sevenoaks Town,"3,668","4,054","4,106","4,489","4,551","4,712","4,749","4,786","4,786","4,789","5,099","5,411","5,441",,"5,951","6,148","6,272",707,,,,
4,Isthmian League South East,14,1,15,1,Three Bridges,"4,153","4,740","4,770","5,121","5,170","5,338","5,381","5,420","5,466","5,491","6,099","6,289","6,328",,"6,823","6,953","7,013",625,,,,
4,Isthmian League South East,15,1,14,1,East Grinstead Town,"3,492","3,748","3,801","4,163","4,224","4,431","4,506","4,538","4,576","4,599","4,990","5,212","5,230",,"5,415","5,559","5,601",329,,,,
4,Isthmian League South East,17,1,5,1,Hythe Town,"5,092","5,848","6,096","6,297","6,280","6,342","6,372","6,411","6,440","6,428","6,708","6,846","6,870",,"6,977","7,012","7,132",142,,,,
4,Isthmian League South East,18,1,13,1,Lancing,,,"5,296","5,880","5,946","6,087","6,118",,"6,201","6,269","6,610","6,816","6,897",,"7,215","7,496","7,666",599,,,,
4,Northern League East Div.,3,1,11,1,Cleethorpes Town,"8,152","8,818","8,931","10,016","10,100","10,368","10,418","10,478","10,508","10,570","11,264","11,572","11,705",,"12,219","12,653","12,766",948,,,,
4,Northern League East Div.,4,1,2,1,Stockton Town,,,"5,789","6,835","6,922","7,151","7,237",,"7,332","7,412","8,248","8,895","8,977",,"9,554","9,746","10,190",769,,,,
4,Northern League East Div.,6,1,6,1,Dunston UTS,"9,890","9,960","10,037","10,944","10,900","11,077","11,143","11,197","11,181","11,202","11,696","11,946","11,986",,"12,370","12,559","12,705",573,,,,
4,Northern League East Div.,6,1,17,1,Carlton Town,"3,165","3,577","3,684","4,303","4,432","4,671","4,734","4,787","4,834","4,914","5,466","5,757","5,828",,"6,013","6,169","6,277",341,,,,
4,Northern League East Div.,7,1,8,1,Brighouse Town,"6,354","6,623","6,734","7,606","7,789","8,083","8,181","8,277","8,324","8,421","8,915","9,074","9,110",,"9,362","9,507","9,567",397,,,,
4,Northern League East Div.,9,1,15,1,Ossett United,"2,204","4,181","4,446","5,572","5,650","5,848","5,899","5,992","6,111","6,168","6,839","7,092","7,114",,"7,529","7,732","7,793",618,,,,
4,Northern League East Div.,11,1,5,1,Stocksbridge Park Steels,"5,471","5,821","5,904","6,543","6,696","6,923","6,973","7,032","7,225","7,245","7,741","7,968","8,003",,"8,493","8,722","8,820",719,,,,
4,Northern League East Div.,12,1,10,1,Pontefract Collieries,"3,223","3,975","4,074","4,887","5,093","5,373","5,423","5,458","5,498","5,630","6,614","6,757","6,782",,"7,185","7,334","7,399",552,,,,
4,Northern League East Div.,13,1,3,1,Hebburn Town,"6,606",,"4,711","6,355","6,494","7,116","7,240",,"7,524","8,748","9,428","9,738","9,794",,"10,236","10,444","10,727",650,,,,
4,Northern League East Div.,15,1,14,1,Bridlington Town,,,"7,093","7,561","7,621","7,786","7,865",,"7,922","7,943","8,413","8,682","8,725",,"8,970","9,134","9,179",409,,,,
4,Northern League East Div.,17,1,9,1,Sheffield,"16,247","16,898","17,885","20,493","20,400","20,735","20,839","21,148","21,562","22,856","26,872","27,632","27,864",,"28,748","29,220","29,610","1,356",,,,
4,Northern League Midlands Div.,7,1,5,1,Coleshill Town,"4,462","5,128","5,197","5,608","5,655","5,829","5,857","5,891","5,916","5,920","6,263","6,366","6,393",,"6,606","6,700","6,803",307,,,,
4,Northern League Midlands Div.,8,1,4,1,Sporting Khalsa,,,"6,363","6,971","6,993","7,240","7,303",,"7,420","7,642","8,407","8,617","8,676",,"8,850","8,983","9,085",307,,,,
4,Northern League Midlands Div.,9,1,14,1,Cambridge City,"5,750","6,035","6,174","6,771","6,809","6,947","7,072","7,182","7,187","7,185","7,631","7,819","7,910",,"8,222","8,386","8,496",476,,,,
4,Northern League Midlands Div.,10,1,3,1,Spalding United,"4,320","4,731","4,816","5,322","5,373","5,501","5,541","6,000","6,030","6,306","7,415","7,540","7,559",,"7,708","7,928","8,177",369,,,,
4,Northern League Midlands Div.,11,1,11,1,Shepshed Dynamo,,,"5,020","5,420","5,456","5,566","5,622",,"5,722","5,714","6,101","6,266","6,289",,"6,572","6,684","6,787",395,,,,
4,Northern League Midlands Div.,12,1,15,1,Bedworth United,"1,291","2,201","2,333","3,079","3,188","3,391","3,457","3,550","3,606","3,670","4,120","4,248","4,293",,"4,544","4,659","4,741",366,,,,
4,Northern League Midlands Div.,13,1,10,1,Loughborough Dynamo,"4,571","5,255","5,361","6,090","6,161","6,320","6,383","6,442","6,489","6,466","6,910","7,068","7,116",,"7,367","7,492","7,564",376,,,,
4,Northern League Midlands Div.,15,1,7,1,Corby Town,"9,732","10,066","10,273","11,914","11,800","11,890","11,937","11,992","11,940","11,901","12,309","12,471","12,544",,"12,791","13,069","13,088",525,,,,
4,Northern League Midlands Div.,17,1,12,1,Sutton Coldfield,"6,822","7,682","7,820","8,721","8,838","9,043","9,110","9,180","9,179","9,148","9,613","9,937","10,018",,"10,245","10,345","10,388",327,,,,
4,Northern League West Div.,3,1,2,1,Leek Town,"7,853","8,576","8,732","9,608","9,698","9,838","9,911","9,963","10,034","9,994","10,443","10,735","10,798",,"11,158","11,458","11,630",660,,,,
4,Northern League West Div.,4,1,6,1,Chasetown,"6,570","7,099","7,180","7,788","7,884","8,102","8,213","8,261","8,291","8,280","9,011","9,813","9,910",,"10,717","10,888","10,981",978,,,,
4,Northern League West Div.,5,1,5,1,Runcorn Linnets,"6,460","7,379","7,557","8,379","8,500","9,003","9,094","9,135","9,233","9,240","10,344","11,091","11,219",,"11,948","12,657","12,996","1,438",,,,
4,Northern League West Div.,6,1,4,1,Clitheroe,"5,680","6,291","6,384","7,313","7,448","7,794","7,897","7,943","8,101","8,285","8,972","9,266","9,321",,"9,992","10,574","10,730","1,253",,,,
4,Northern League West Div.,7,1,13,1,Bootle,,,"7,231","8,205","8,227","8,503","8,581",,"8,794","9,588","10,879","11,261","11,314",,"12,127","12,993","13,624","1,679",,,,
4,Northern League West Div.,8,1,7,1,Mossley,"8,140","8,833","8,982","9,995","10,000","10,456","10,581","10,622","10,859","10,864","11,562","11,782","11,822",,"12,285","12,518","12,616",696,,,,
4,Northern League West Div.,9,1,12,1,City of Liverpool,"11,081","11,300","11,344","13,725","13,800","14,240","14,349","14,448","14,517","14,759","15,327","15,499","15,574",,"16,098","16,357","16,403",783,,,,
4,Northern League West Div.,10,1,8,1,Kidsgrove Athletic,"5,508","6,396","6,527","1,015","1,162","1,414","1,503","1,602","1,661","1,809","2,554","2,798","2,864",,"3,361","3,605","3,761",741,,,,
4,Northern League West Div.,11,1,10,1,Trafford,"8,538","9,250","9,430","10,276","10,300","10,643","10,704","10,745","10,798","10,817","11,599","11,792","11,843",,"12,288","12,574","12,672",731,,,,
4,Northern League West Div.,12,1,14,1,1874 Northwich,,,"6,800","8,468","8,814","9,182","9,203",,"9,274","9,268","9,830","9,943","9,975",,"10,258","10,469","10,556",494,,,,
4,Northern League West Div.,13,1,17,1,Widnes,"3,543","4,348","4,515","5,077","5,112","5,278","5,328","5,355","5,423","5,487","6,002","6,230","6,275",,"6,714","7,019","7,093",744,,,,
4,Northern League West Div.,16,1,15,1,Newcastle Town,"5,983","6,543","6,667","7,093","7,164","7,314","7,388","7,478","7,549","7,573","7,997","8,218","8,300",,"8,590","8,838","8,917",538,,,,
4,Northern League West Div.,18,1,9,1,Prescot Cables,"8,464","9,258","9,504","10,473","10,500","10,825","10,924","10,956","11,258","11,328","12,303","12,715","12,830",,"13,619","13,900","13,998","1,070",,,,
4,Southern Div. One Central,3,1,6,1,Cirencester Town,"5,434","5,865","5,965","6,621","6,729","6,853","6,928","6,975","6,979","6,990","7,337","7,550","7,590",,"7,844","7,976","8,018",386,,,,
4,Southern Div. One Central,3,1,13,1,AFC Dunstable,"4,849","5,287","5,368","5,683","5,712","5,868","5,966","6,028","6,027","6,010","6,289","6,544","6,610",,"6,950","7,118","7,196",508,,,,
4,Southern Div. One Central,4,1,5,1,Ware ,"4,659","4,715","4,750","5,094","5,151","5,261","5,299","5,321","5,349","5,380","5,992","6,265","6,321",,"6,533","6,672","6,792",351,,,,
4,Southern Div. One Central,5,1,8,1,Welwyn Garden City,"3,902","4,690","4,886","5,508","5,557","5,729","5,771","5,802","5,846","5,852","6,404","6,739","6,834",,"7,126","7,331","7,429",497,,,,
4,Southern Div. One Central,8,1,12,1,Thame United,"2,737","3,077","3,126","3,607","3,664","6,429","6,219","6,664","6,573","6,307","6,585","6,675","6,693",,"6,853","6,916","7,027",223,,,,
4,Southern Div. One Central,9,1,2,1,Biggleswade FC,"1,314","1,470","1,756","2,441","2,517","2,654","2,710","2,736","2,766","2,816","3,176","3,346","3,374",,"3,580","3,695","3,800",321,,,,
4,Southern Div. One Central,11,1,11,1,Waltham Abbey,"3,838","4,166","4,249","4,500","4,552","4,683","4,734","4,766","4,787","4,819","5,000","5,130","5,146",,"5,311","5,421","5,457",275,,,,
4,Southern Div. One Central,14,1,15,1,Aylesbury United,"4,638","5,109","5,142","5,649","5,724","5,853","5,917","5,997","6,030","6,056","6,608","6,796","6,799",,"7,096","7,224","7,295",425,,,,
4,Southern Div. One Central,15,1,18,1,Barton Rovers,"5,009","5,322","5,378","5,755","5,762","5,872","5,918","5,937","5,956","5,950","6,165","6,344","6,358",,"6,510","6,621","6,756",263,,,,
4,Southern Div. One Central,16,1,14,1,Hertford Town,"5,186","5,493","5,714","6,070","6,062","6,173","6,223","6,262","6,322","6,353","6,819","6,967","7,008",,"7,712","7,834","7,894",826,,,,
4,Southern Div. One Central,17,1,10,1,Kidlington,"2,458","2,767","2,826","3,236","3,329","3,448","3,545","3,607","3,594","3,590","3,904","4,021","4,046",,"4,232","4,348","4,465",302,,,,
4,Southern Div. One Central,18,1,16,1,Kempston Rovers,"1,793","2,083","2,142","2,427","2,470","2,565","2,609","2,633","2,644","2,668","2,929","3,110","3,143",,"3,316","3,405","3,510",262,,,,
4,Southern Div. One Central,20,1,7,1,Biggleswade Town,"6,709","6,842","7,029","7,668","7,679","7,787","7,885","7,944","7,959","7,961","8,304","8,535","8,550",,"8,746","8,821","8,905",271,,,,
4,Southern Div. One South,2,1,8,1,Frome Town,"6,229","6,666","6,768","7,462","7,441","7,551","7,620","7,648","7,673","7,646","8,201","8,506","8,536",,"8,857","9,117","9,140",581,,,,
4,Southern Div. One South,5,1,18,1,Bristol Manor Farm,"2,786","3,489","3,550","4,173","4,317","4,618","4,765","4,866","4,888","4,934","5,560","5,973","6,037",,"6,376","6,561","6,677",524,,,,
4,Southern Div. One South,8,1,12,1,Melksham Town,"3,046","3,771","3,858","4,539","4,628","4,899","4,984","5,038","5,052","5,118","5,714","5,893","6,081",,"6,437","6,717","6,938",636,,,,
4,Southern Div. One South,9,1,13,1,Paulton Rovers,"4,179","4,550","4,615","5,154","5,200","5,300","5,334","5,374","5,355","5,348","5,736","5,878","5,901",,"6,288","6,454","6,520",553,,,,
4,Southern Div. One South,11,1,11,1,Larkhall Athletic,"3,866","4,088","4,109","4,427","4,475","4,566","4,635","4,679","4,692","4,712","5,225","5,349","5,374",,"5,645","5,811","5,850",437,,,,
4,Southern Div. One South,12,1,17,1,Bideford,"3,730","3,992","4,019","4,389","4,419","4,572","4,613","4,655","4,668","4,681","5,038","5,278","5,311",,"5,625","5,839","5,914",528,,,,
4,Southern Div. One South,13,1,4,1,Evesham United,"5,306","5,740","5,848","6,660","6,844","7,057","7,108","7,158","7,200","7,194","7,660","7,847","7,941",,"8,231","8,454","8,550",513,,,,
4,Southern Div. One South,15,1,15,1,Willand Rovers,"2,675","2,770","2,972","3,488","3,542","3,649","3,682","3,714","3,727","3,725","4,107","4,205","4,237",,"4,536","4,660","4,726",423,,,,
5,Combined Counties Premier Div. North,2,1,3,1,Risborough Rangers,,,0,626,682,890,,,"1,042","1,121","1,621","1,848","1,901",,"2,141","2,274","2,390",373,,,,
5,Combined Counties Premier Div. North,2,1,13,1,Hilltop,,,,,,,,,,,842,,"1,174",,"1,304","1,345","1,487",171,,,,
5,Combined Counties Premier Div. North,3,1,2,1,Egham Town,,,"2,240","2,497","2,513","2,551","2,578",,"2,622","2,728","2,973","3,049","3,070",,"3,188","3,335","3,384",265,,,,
5,Combined Counties Premier Div. North,5,1,8,1,North Greenford United,,,710,791,795,812,821,,812,818,862,874,880,,913,924,"1,661",44,,,,
5,Combined Counties Premier Div. North,6,1,5,1,Flackwell Heath,,,"2,693","3,066","3,084","3,210","3,261",,"3,340","3,430","3,890","4,006","4,018",,"4,195","4,304","4,344",286,,,,
5,Combined Counties Premier Div. North,7,1,14,1,Ardley United,,,"2,136","2,295","2,304","2,417","2,445",,"2,454","2,468","2,858","2,972","3,005",,"3,200","3,310","3,352",305,,,,
5,Combined Counties Premier Div. North,8,1,6,1,Edgware & Kingsbury ,,,"2,214","2,533","2,594","2,719","2,772",,"2,954","3,078","3,342","3,456","3,495",,"3,653","3,736","3,806",241,,,,
5,Combined Counties Premier Div. North,9,1,3,1,Reading City,,,"3,166","3,797","3,815","3,965","4,050",,"4,147","4,190","4,596","4,745","4,786",,"5,005","5,158","5,223",372,,,,
5,Combined Counties Premier Div. North,11,1,14,1,Harefield United,,,"1,437","1,892","2,168","2,570","2,609",,"2,747","2,826","3,073","3,177","3,239",,"3,374","3,461","3,511",222,,,,
5,Combined Counties Premier Div. North,13,1,4,1,Burnham,,,"3,677","4,054","4,038","4,150","4,221",,"4,244","4,249","4,532","4,638","4,697",,"4,907","5,134","5,221",437,,,,
5,Combined Counties Premier Div. North,14,1,9,1,Wembley,,,"4,463","4,616","4,586","4,611","4,636",,"4,648","4,747","4,912","4,963","4,984",,"5,048","5,080","5,137",96,,,,
5,Combined Counties Premier Div. North,15,1,7,1,Virginia Water,,,774,"1,062","1,079","1,203","1,228",,"1,268","1,304","1,489","1,552","1,691",,"1,840","1,957","2,028",266,,,,
5,Combined Counties Premier Div. North,16,1,12,1,Broadfields United,,,"1,000","1,239","1,247","1,349","1,380",,"1,410","1,417","1,631","1,736","1,770",,"1,840","1,909","1,959",139,,,,
5,Combined Counties Premier Div. North,16,1,17,1,Wokingham & Emmbrook,,,"1,849","2,202","2,229","2,331",,,"2,445","2,487","2,819","2,930","2,975",,"3,255","3,379","3,431",404,,,,
5,Combined Counties Premier Div. North,17,1,16,1,Holyport,,,"2,507","2,751","2,779","2,884",,,"2,940","2,968","3,265","3,386","3,424",,"3,701","3,824","3,874",400,,,,
5,Combined Counties Premier Div. South,4,1,3,1,Jersey Bulls,,,657,"3,123","3,448","3,682",,,"3,814","3,895","5,635","6,126","6,236",,"6,633","7,027","7,171",791,,,,
5,Combined Counties Premier Div. South,4,1,4,1,Abbey Rangers,,,"1,919","2,445","2,512","2,683","2,736",,"2,815","2,884","3,275","3,380","3,411",,"3,560","3,674","3,717",263,,,,
5,Combined Counties Premier Div. South,6,1,12,1,Redhill,,,"5,056","5,330","5,296","5,364","5,404",,"5,541","5,551","5,908","6,118","6,164",,"6,280","6,459","6,523",295,,,,
5,Combined Counties Premier Div. South,7,1,17,1,Horley Town,,,"3,045","3,547","3,605","3,748","3,785",,"3,903","3,935","4,258","4,382","4,425",,"4,545","4,654","4,700",229,,,,
5,Combined Counties Premier Div. South,8,1,9,1,Balham,,,"1,261","1,634","1,685","1,907","1,952",,"2,005","2,101","2,423","2,580","2,630",,"2,787","2,906","2,955",276,,,,
5,Combined Counties Premier Div. South,9,1,16,1,Sheerwater,,,"2,362","2,684","2,687","2,816","2,858",,"2,919","2,983","3,357","3,563","3,660",,"3,924","4,047","4,112",387,,,,
5,Combined Counties Premier Div. South,10,1,6,1,Farnham Town,,,"3,120","3,620","3,711","3,946",,,"4,146","4,196","4,673","4,954","5,086",,"6,311","7,371","7,793","2,285",,,,
5,Combined Counties Premier Div. South,10,1,8,1,Tadley Calleva,,,"1,720","2,222","2,260","2,455","2,845",,"2,558","2,573","2,859","2,917","2,958",,"3,151","3,297","3,304",339,,,,
5,Combined Counties Premier Div. South,10,1,13,1,Alton,,,"2,027","2,431","2,488","2,583",,,"2,693","2,715","3,154","3,244","3,281",,"3,433","3,529","3,565",248,,,,
5,Combined Counties Premier Div. South,11,1,7,1,Knaphill,,,"3,369","4,000","4,090","4,232","4,264",,"4,325","4,331","4,676","4,851","4,916",,"5,162","5,409","5,520",493,,,,
5,Combined Counties Premier Div. South,11,1,15,1,Spelthorne Sports,,,"2,279","2,694","2,758","2,904","2,946",,"3,025","3,125","3,340","3,444","3,502",,"3,615","3,726","3,828",224,,,,
5,Combined Counties Premier Div. South,12,1,10,1,Camberley Town,,,"4,708","5,056","5,083","5,152","5,177",,"5,345","5,350","5,592","5,749","5,781",,"5,985","6,111","6,147",330,,,,
5,Combined Counties Premier Div. South,13,1,5,1,Colliers Wood United,,,206,325,343,482,499,,541,722,"1,310","1,471","1,579",,"1,919","2,102","2,246",523,,,,
5,Combined Counties Premier Div. South,14,1,11,1,Cobham,,,"2,810","3,034","3,033","3,127","3,148",,"3,236","3,260","3,457","3,559","3,601",,"3,714","3,784","3,843",183,,,,
5,Combined Counties Premier Div. South,15,1,14,1,Guildford City,,,"5,552","5,774","5,769","5,889","5,925",,"6,090","6,148","6,608","6,833","6,883",,"7,075","7,145","7,176",262,,,,
5,Combined Counties Premier Div. South,16,1,18,1,Fleet Town,,,"3,280","3,532","3,535","3,613","3,664",,"3,726","3,749","4,020","4,160","4,221",,"4,514","4,816","4,930",595,,,,
5,Combined Counties Premier Div. South,18,1,15,1,AFC Croydon Athletic,,,"1,059","1,272","1,272","1,361","1,405",,"1,453","1,468","1,675","1,745","1,771",,"1,897","1,996","4,648",225,,,,
5,Eastern Counties Premier Div.,3,1,6,1,Mildenhall Town,,,"3,520","3,932","3,945","4,074","4,104",,"4,148","4,178","4,475","4,595","4,640",,"4,818","4,951","5,021",311,,,,
5,Eastern Counties Premier Div.,4,1,10,1,Mulbarton Wanderers,,,"2,580","3,053","3,136","3,318",,,"3,470","3,514","3,908","4,105","4,200",,"4,446","4,623","4,680",423,,,,
5,Eastern Counties Premier Div.,5,1,8,1,Norwich United,,,"3,861","4,458","4,584","4,780","4,837",,"4,877","4,921","5,426","5,574","5,608",,"5,813","5,927","5,976",319,,,,
5,Eastern Counties Premier Div.,6,1,17,1,Fakenham Town,,,"4,081","4,501","4,525","4,655",,,"4,893","4,997","5,310","5,508","5,548",,"5,711","5,805","5,829",257,,,,
5,Eastern Counties Premier Div.,7,1,14,1,Walsham-le-Williows,,,"1,005","1,326","1,350","1,486","1,517",,"1,605","1,636","1,885","1,998","2,031",,"2,220","2,323","2,365",292,,,,
5,Eastern Counties Premier Div.,8,1,12,1,Newmarket Town,,,"4,175","4,675","4,691","4,902","4,945",,"5,013","5,057","5,443","5,609","5,682",,"5,879","6,059","6,155",377,,,,
5,Eastern Counties Premier Div.,9,1,16,1,Kirkley & Pakefield,,,"4,296","4,714","4,833","4,922","4,971",,"4,890","4,985","5,137","5,224","5,235",,"5,319","5,411","5,451",176,,,,
5,Eastern Counties Premier Div.,11,1,4,1,Woodbridge Town,,,"2,335","2,782","2,822","2,964","3,005",,"3,062","3,081","3,402","3,535","3,569",,"3,704","3,784","3,815",215,,,,
5,Eastern Counties Premier Div.,12,1,5,1,Lakenheath,,,540,870,927,"1,073",,,"1,181","1,266","1,813","1,918","1,984",,"2,164","2,309","2,403",325,,,,
5,Eastern Counties Premier Div.,13,1,18,1,Ely City,,,"3,521","3,975","3,990","4,148","4,196",,"4,265","4,314","4,596","4,766","4,813",,"4,982","5,089","5,147",276,,,,
5,Eastern Counties Premier Div.,14,1,2,1,Thetford Town,,,"1,677","2,037","2,052","2,198","2,230",,"2,298","2,341","2,593","2,752","2,880",,"3,085","3,319","3,380",439,,,,
5,Eastern Counties Premier Div.,15,1,9,1,Hadleigh United,,,"2,117","2,582","2,619","2,778","2,826",,"2,932","2,954","3,294","3,430","3,497",,"3,736","3,850","3,941",353,,,,
5,Eastern Counties Premier Div.,18,1,13,1,Brantham Athletic,,,"2,714","3,250","3,298","3,472","3,550",,"3,608","3,649","3,984","4,114","4,172",,"4,350","4,451","4,516",279,,,,
5,Eastern Counties Premier Div.,19,1,11,1,Long Melford,,,"3,383","3,825","3,852","4,241","4,305",,"4,372","4,454","4,672","4,815","4,863",,"5,035","5,137","5,199",274,,,,
5,Essex Senior League ,2,1,8,1,Saffron Walden Town,,,"3,927","4,621","4,646","4,841","4,888",,"4,962","5,021","5,478","5,746","5,835",,"6,022","6,154","6,236",319,,,,
5,Essex Senior League ,2,1,17,1,Buckhurst Hill,,,,,,,,,,,"2,522","2,703","2,730",,"2,942","3,062","3,121",332,,,,
5,Essex Senior League ,6,1,12,1,Little Oakley,,,"1,830","2,244","2,289","2,456",,,"2,558","2,619","3,142","3,379","3,479",,"3,643","3,754","3,820",275,,,,
5,Essex Senior League ,7,1,4,1,FC Clacton,,,"3,640","4,155","4,191","4,360","4,397",,"4,452","4,533","4,848","4,964","5,008",,"5,144","5,243","5,268",235,,,,
5,Essex Senior League ,8,1,6,1,Athletic Newham,,,94,497,552,696,,,768,825,"1,453","1,735","1,802",,"2,114","2,192","2,299",390,,,,
5,Essex Senior League ,10,1,5,1,Takeley,,,"1,748","2,117","2,151","2,304","2,346",,"2,413","2,448","2,762","2,852","2,883",,"2,985","3,057","3,138",174,,,,
5,Essex Senior League ,11,1,13,1,White Ensign,,,"1,476","1,984","2,018","2,206",,,"2,266","2,342","10,254","10,034","10,004",,"9,781","9,571","9,563",-433,,,,
5,Essex Senior League ,12,1,11,1,Stanway Rovers,,,"3,488","4,063","4,078","4,198","4,248",,"4,305","4,356","4,771","4,873","4,922",,"5,071","5,155","5,220",233,,,,
5,Essex Senior League ,13,1,10,1,West Essex,,,"1,650","2,095","2,151","2,376","2,419",,"2,534","2,587","2,886","3,030","3,064",,"3,222","3,319","3,374",255,,,,
5,Essex Senior League ,14,1,3,1,Woodford Town,,,"1,007","1,639","1,691","1,949","2,013",,"2,190","2,273","2,804","3,001","3,040",,"3,191","3,377","3,447",337,,,,
5,Essex Senior League ,16,1,16,1,Ilford,,,603,"1,131","1,309","1,656","1,756",,"1,953","2,141","2,549","2,778","2,896",,"3,127","3,217","3,297",321,,,,
5,Hellenic League Premier Div.,4,1,17,1,Worcester City ,,,"12,585","13,294","13,200","13,596","13,701",,"13,751","13,757","14,576","14,919","15,027",,"15,524","15,784","15,886",757,,,,
