ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
4224,2518.41,0.22,0.18,14.78,0.3,0.4,1,5,1,5,1,6,3,0,Sigma(c)(2520),uuc
-4224,2518.41,0.22,0.18,14.78,0.3,0.4,1,5,-1,5,1,-6,3,0,Sigma(c)(2520),UUC
4232,2467.71,0.23,0.23,1.45E-09,1.60E-11,1.60E-11,2-Jan,5,1,5,1,3,3,0,Xi(c),usc
-4232,2467.71,0.23,0.23,1.45E-09,1.60E-11,1.60E-11,2-Jan,5,-1,5,1,-3,3,0,Xi(c),USC
4301,-1,-1,-1,-1,-1,-1,0,5,5,5,1,1,0,4,(cs)(0),
-4301,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-1,0,4,(cs)(0),
4303,-1,-1,-1,-1,-1,-1,0,5,5,5,1,1,0,4,(cs)(1),
-4303,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-1,0,4,(cs)(1),
4312,2578.7,0.5,0.5,-1,-1,-1,2-Jan,5,1,5,1,0,3,0,Xi(c)',dsc
-4312,2578.7,0.5,0.5,-1,-1,-1,2-Jan,5,-1,5,1,0,3,0,Xi(c)',DSC
4314,2646.16,0.25,0.25,2.35,0.22,0.22,2-Jan,5,1,5,1,0,3,0,Xi(c)(2645),dsc
-4314,2646.16,0.25,0.25,2.35,0.22,0.22,2-Jan,5,-1,5,1,0,3,0,Xi(c)(2645),DSC
4322,2578.2,0.5,0.5,-1,-1,-1,2-Jan,5,1,5,1,3,3,0,Xi(c)',usc
-4322,2578.2,0.5,0.5,-1,-1,-1,2-Jan,5,-1,5,1,-3,3,0,Xi(c)',USC
4324,2645.1,0.3,0.3,2.14,0.19,0.19,2-Jan,5,1,5,1,3,3,0,Xi(c)(2645),usc
-4324,2645.1,0.3,0.3,2.14,0.19,0.19,2-Jan,5,-1,5,1,-3,3,0,Xi(c)(2645),USC
4332,2695.2,1.7,1.7,2.46E-09,2.60E-10,2.20E-10,0,5,1,5,1,0,3,0,Omega(c),ssc
-4332,2695.2,1.7,1.7,2.46E-09,2.60E-10,2.20E-10,0,5,-1,5,1,0,3,0,Omega(c),SSC
4334,2765.9,2,2,-1,-1,-1,0,5,1,5,1,0,3,0,Omega(c)(2770),ssc
-4334,2765.9,2,2,-1,-1,-1,0,5,-1,5,1,0,3,0,Omega(c)(2770),SSC
4403,-1,-1,-1,-1,-1,-1,0,5,5,5,1,4,0,4,(cc)(1),
-4403,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-4,0,4,(cc)(1),
5101,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-2,0,4,(bd)(0),
-5101,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,2,0,4,(bd)(0),
5103,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-2,0,4,(bd)(1),
-5103,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,2,0,4,(bd)(1),
5112,5815.64,0.27,0.27,5.3,0.5,0.5,1,5,1,5,1,-3,3,0,Sigma(b),ddb
-5112,5815.64,0.27,0.27,5.3,0.5,0.5,1,5,-1,5,1,3,3,0,Sigma(b),DDB
5114,5834.74,0.3,0.3,10.4,0.8,0.8,1,5,1,5,1,-3,3,0,Sigma(b)*,ddb
-5114,5834.74,0.3,0.3,10.4,0.8,0.8,1,5,-1,5,1,3,3,0,Sigma(b)*,DDB
5122,5619.6,0.17,0.17,4.48E-10,2.70E-12,2.70E-12,0,5,1,5,1,0,3,0,Lambda(b),udb
-5122,5619.6,0.17,0.17,4.48E-10,2.70E-12,2.70E-12,0,5,-1,5,1,0,3,0,Lambda(b),UDB
5132,5797,0.6,0.6,4.19E-10,1.10E-11,1.10E-11,2-Jan,5,1,5,1,-3,3,0,Xi(b),dsb
-5132,5797,0.6,0.6,4.19E-10,1.10E-11,1.10E-11,2-Jan,5,-1,5,1,3,3,0,Xi(b),DSB
5201,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,1,0,4,(bu)(0),
-5201,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-1,0,4,(bu)(0),
